title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
agricola,443,13,0,14,0,45.0,2.0,9.0,14.0,24.0,15.0,1.0,1.0,2.0,7.0,7.0,5.0,6.0,6.0,73.0,2.0,7.0,27.0,3.0,2.0,94.0,21.0,34.0,16.0,2.0,425.0,5.0,1.0
annales,5781,90,55,28,8,505.0,96.0,107.0,180.0,267.0,231.0,35.0,34.0,51.0,67.0,63.0,58.0,84.0,89.0,861.0,51.0,57.0,273.0,15.0,62.0,1333.0,365.0,502.0,199.0,21.0,5606.0,85.0,1.0
annales book 1,769,15,11,5,0,66.0,10.0,10.0,21.0,34.0,32.0,4.0,9.0,4.0,13.0,10.0,15.0,6.0,14.0,115.0,7.0,13.0,37.0,3.0,6.0,176.0,49.0,69.0,23.0,0.0,746.0,8.0,1.0
annales book 11,318,7,2,5,1,25.0,5.0,5.0,11.0,17.0,8.0,1.0,2.0,2.0,5.0,6.0,1.0,4.0,7.0,55.0,1.0,4.0,20.0,1.0,7.0,73.0,18.0,24.0,7.0,0.0,309.0,2.0,1.0
annales book 12,473,3,3,1,0,45.0,8.0,15.0,21.0,19.0,15.0,4.0,3.0,3.0,5.0,4.0,4.0,10.0,2.0,74.0,3.0,0.0,28.0,2.0,3.0,111.0,25.0,42.0,16.0,1.0,463.0,7.0,1.0
annales book 13,443,3,1,2,1,42.0,11.0,5.0,5.0,16.0,11.0,3.0,2.0,6.0,3.0,6.0,7.0,6.0,8.0,71.0,6.0,4.0,21.0,1.0,6.0,113.0,31.0,37.0,13.0,3.0,437.0,3.0,1.0
annales book 14,528,5,1,3,2,48.0,6.0,12.0,23.0,25.0,24.0,2.0,2.0,6.0,6.0,6.0,4.0,13.0,10.0,66.0,4.0,6.0,29.0,1.0,5.0,115.0,36.0,40.0,21.0,1.0,511.0,12.0,1.0
annales book 15,560,6,3,4,0,62.0,8.0,11.0,14.0,26.0,21.0,3.0,1.0,3.0,6.0,4.0,7.0,13.0,9.0,83.0,3.0,2.0,28.0,0.0,7.0,129.0,37.0,49.0,18.0,2.0,546.0,8.0,1.0
annales book 16,237,2,2,1,0,22.0,7.0,3.0,11.0,7.0,13.0,3.0,1.0,0.0,1.0,2.0,4.0,3.0,4.0,29.0,2.0,9.0,17.0,0.0,3.0,48.0,14.0,18.0,8.0,1.0,230.0,5.0,1.0
annales book 2,685,7,5,2,1,49.0,5.0,14.0,22.0,41.0,34.0,4.0,2.0,7.0,9.0,8.0,4.0,8.0,10.0,106.0,3.0,6.0,16.0,0.0,7.0,175.0,38.0,68.0,25.0,5.0,666.0,12.0,1.0
annales book 3,605,10,8,2,1,61.0,14.0,9.0,17.0,24.0,19.0,2.0,5.0,7.0,7.0,6.0,4.0,9.0,8.0,89.0,12.0,4.0,17.0,4.0,6.0,125.0,49.0,59.0,26.0,2.0,585.0,10.0,1.0
annales book 4,646,8,7,2,0,42.0,10.0,14.0,23.0,35.0,29.0,8.0,5.0,6.0,8.0,4.0,2.0,7.0,6.0,101.0,4.0,2.0,41.0,2.0,7.0,159.0,41.0,48.0,26.0,3.0,633.0,5.0,1.0
annales book 5,42,0,0,1,0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,4.0,2.0,0.0,33.0,9.0,1.0
annales book 6,475,13,12,0,2,41.0,12.0,8.0,11.0,22.0,23.0,1.0,0.0,7.0,4.0,6.0,4.0,4.0,11.0,67.0,6.0,7.0,17.0,1.0,5.0,104.0,25.0,44.0,14.0,3.0,447.0,15.0,1.0
dialogus,443,13,2,7,5,65.0,9.0,8.0,16.0,26.0,13.0,8.0,2.0,4.0,1.0,3.0,3.0,7.0,9.0,91.0,3.0,4.0,20.0,2.0,0.0,75.0,11.0,26.0,5.0,2.0,413.0,17.0,1.0
germania,460,4,1,4,0,55.0,7.0,13.0,26.0,24.0,12.0,3.0,4.0,4.0,8.0,8.0,5.0,8.0,6.0,77.0,5.0,9.0,28.0,0.0,3.0,78.0,25.0,28.0,10.0,4.0,450.0,6.0,1.0
historiae,3724,28,11,15,3,409.0,49.0,72.0,130.0,162.0,135.0,22.0,23.0,29.0,44.0,57.0,48.0,38.0,49.0,552.0,31.0,41.0,175.0,5.0,31.0,888.0,229.0,300.0,122.0,10.0,3651.0,45.0,1.0
historiae book 1,764,5,1,4,1,93.0,9.0,15.0,30.0,36.0,30.0,5.0,2.0,6.0,14.0,8.0,14.0,11.0,14.0,118.0,4.0,11.0,39.0,0.0,6.0,165.0,43.0,51.0,26.0,2.0,752.0,7.0,1.0
historiae book 2,882,4,1,4,0,76.0,11.0,22.0,38.0,41.0,33.0,6.0,5.0,4.0,11.0,14.0,12.0,4.0,13.0,135.0,9.0,8.0,37.0,1.0,4.0,216.0,59.0,69.0,33.0,3.0,864.0,14.0,1.0
historiae book 3,837,5,4,2,0,94.0,13.0,7.0,26.0,38.0,26.0,2.0,5.0,10.0,13.0,18.0,7.0,9.0,11.0,132.0,3.0,11.0,40.0,1.0,7.0,201.0,45.0,68.0,34.0,1.0,822.0,10.0,1.0
historiae book 4,966,6,2,4,1,116.0,9.0,20.0,29.0,38.0,37.0,6.0,9.0,9.0,5.0,14.0,13.0,9.0,6.0,131.0,11.0,9.0,48.0,3.0,9.0,237.0,59.0,93.0,23.0,3.0,946.0,14.0,1.0
historiae book 5,275,4,3,1,1,30.0,7.0,8.0,7.0,9.0,9.0,3.0,2.0,0.0,1.0,3.0,2.0,5.0,5.0,36.0,4.0,2.0,11.0,0.0,5.0,69.0,23.0,19.0,6.0,1.0,267.0,4.0,1.0
