title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,percent_artistic
pro roscio comoedo,490,63,11,6,41,54.0,9.0,11.0,11.0,18.0,23.0,2.0,1.0,5.0,7.0,7.0,2.0,3.0,8.0,73.0,9.0,2.0,15.0,1.0,2.0,93.0,15.0,34.0,8.0,2.0,415.0,1.0289156626506024
lucullus,1161,44,5,18,17,152.0,28.0,55.0,17.0,158.0,85.0,27.0,10.0,4.0,27.0,12.0,6.0,31.0,16.0,185.0,11.0,8.0,86.0,11.0,5.0,106.0,27.0,33.0,7.0,6.0,1113.0,1.0035938903863433
pro fonteio,273,55,14,10,8,48.0,7.0,18.0,3.0,12.0,15.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,7.0,51.0,1.0,1.0,10.0,2.0,1.0,20.0,3.0,4.0,3.0,0.0,215.0,1.013953488372093
epistulae ad brutum,689,55,6,10,36,76.0,18.0,25.0,11.0,68.0,50.0,6.0,9.0,2.0,11.0,8.0,3.0,9.0,16.0,94.0,7.0,5.0,36.0,10.0,6.0,70.0,35.0,44.0,8.0,5.0,632.0,1.0031645569620253
pro balbo,348,27,9,7,8,76.0,5.0,23.0,7.0,26.0,15.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,120.0,2.0,3.0,5.0,2.0,1.0,18.0,2.0,7.0,0.0,0.0,324.0,0.9907407407407407
orator,1205,17,2,7,7,149.0,34.0,53.0,19.0,221.0,96.0,29.0,16.0,3.0,28.0,17.0,2.0,25.0,17.0,202.0,14.0,6.0,102.0,17.0,4.0,78.0,28.0,19.0,9.0,2.0,1190.0,0.9983193277310924
de fato,349,20,0,2,4,47.0,6.0,13.0,3.0,42.0,25.0,7.0,2.0,2.0,6.0,7.0,2.0,9.0,1.0,63.0,3.0,1.0,24.0,2.0,1.0,29.0,9.0,10.0,8.0,2.0,324.0,1.0154320987654322
de partitione oratoria,600,14,0,3,9,104.0,18.0,30.0,10.0,55.0,40.0,8.0,5.0,0.0,9.0,7.0,3.0,13.0,7.0,137.0,4.0,1.0,37.0,5.0,1.0,44.0,17.0,11.0,8.0,5.0,579.0,1.012089810017271
laelius de amicitia,586,49,10,2,22,95.0,13.0,43.0,13.0,87.0,31.0,11.0,5.0,1.0,6.0,6.0,3.0,11.0,5.0,103.0,3.0,2.0,25.0,6.0,1.0,43.0,7.0,10.0,4.0,2.0,536.0,1.001865671641791
pro rabirio postumo,302,28,3,11,12,36.0,9.0,9.0,4.0,31.0,23.0,2.0,0.0,1.0,6.0,4.0,2.0,9.0,6.0,56.0,0.0,1.0,14.0,0.0,2.0,34.0,7.0,8.0,4.0,3.0,271.0,1.011070110701107
